,song titles,found on spotify,spotify URI
0,Can't Fight City Halloween,Yes,spotify:track:31n5hquEG1tkwzizOAlj0K
1,Mayoral Ducting,Yes,spotify:track:0zkjm6r2drbMvpIfwAyItm
2,It's Raining Vengeance,Yes,spotify:track:2UUzNIZYWb5bsWB04MF4nE
3,Don't Be Voyeur with Me,Yes,spotify:track:3xQuz21Qwnxie8L28VNAtg
4,Crossing the Feline,Yes,spotify:track:4iI15HVxcLTdCg19fyEbEf
5,Gannika Girl,Yes,spotify:track:3FYqq1GLFjFoxtNzdgXv5e
6,Moving in for the Gil,Yes,spotify:track:54SQaimXsCoFUaYos5wiGV
7,Funeral and Far Between,Yes,spotify:track:2jVjwsysanjVbkuqu0LN6w
8,Collar ID,Yes,spotify:track:2IMtpR7MPttQKSV4ZJVY2a
9,Escaped Crusader,Yes,spotify:track:67QHSxSDV6k9ey9fWVKEBL
10,Penguin of Guilt,Yes,spotify:track:2DkM5TDITGVU6ysJocuYGw
11,Highway to the Anger Zone,Yes,spotify:track:6v2cmvER5ukO0ymjptFCDj
12,World's Worst Translator,Yes,spotify:track:4tjRtOpCsUzymzE8DZ37MH
13,"Riddles, Riddles Everywhere",Yes,spotify:track:52DJgIWI6Y3fnyrNdY2laY
14,Meow and You and Everyone We Know,Yes,spotify:track:64OUZeBg25MKyhi2Jld386
15,For All Your Pennyworth,Yes,spotify:track:5d8YTPOk3ad8EF1V96QNVe
16,Are You a Kenzie or a Can't-zie?,Yes,spotify:track:0RjLn22ltsadBNTG43LXAn
17,An Im-purr-fect Murder,Yes,spotify:track:04u9BJvlClPEfzASFFitZy
18,The Great Pumpkin Pie,Yes,spotify:track:55RX1ZuMVLlmq5As9WeJQN
19,Hoarding School,Yes,spotify:track:3ldPwPKHcvuAC1p1SxwS6s
20,A Flood of Terrors,Yes,spotify:track:5sgNIaYKxsBD54QNiKSYnU
21,"A Bat in the Rafters, Pt. 1",Yes,spotify:track:1u9atBGK0gMndAaMQS4MEj
22,"A Bat in the Rafters, Pt. 2",Yes,spotify:track:3vXlMbGPGuuCZeGiqgeVah
23,The Bat's True Calling,Yes,spotify:track:5XBXvOSiZlVYUfhL25FkbI
24,All's Well That Ends Farewell,Yes,spotify:track:3OUzsBpHB4fkdaRy14IcWx
25,The Batman,Yes,spotify:track:4gHnSNHs8RyVukKoWdS99f
26,Catwoman,Yes,spotify:track:32eZBRzpOlfJewW9Ih0tu2
27,The Riddler,Yes,spotify:track:6kMGjeOWNATUyRxxvzvlez
28,Sonata in Darkness,Yes,spotify:track:7uCe2bdPIWYkPOULm9DZO3
