,song titles,found on spotify,spotify URI
0,Black Panther,Yes,spotify:track:0AoBY2Y3qs6dtGgOD6c91N
1,All the Stars,Yes,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
2,X,Yes,spotify:track:40xhyfAPDoMtv494MfPevP
3,The Ways,Yes,spotify:track:5jyyPsIGM2yqkZN9R3TmvN
4,Opps,Yes,spotify:track:6naxalmIoLFWR0siv8dnQQ
5,I Am,Yes,spotify:track:3nOz1U41SZZ0N3fuUWr9nb
6,Paramedic!,Yes,spotify:track:2tPcTFiQF9MbVUyjZ3zDhA
7,Bloody Waters,Yes,spotify:track:4KXwFI9pgJLpUIAc9oSL8j
8,King's Dead,Yes,spotify:track:51rXHuKN8Loc4sUlKPODgH
9,Redemption Interlude,Yes,spotify:track:7GILUcZWtLExmzlz9Byp4G
10,Redemption,Yes,spotify:track:7MKcM6TfaGKQVFfhstCbOw
11,Seasons,Yes,spotify:track:3gmKj3ulv2GGeW4JkmphHE
12,Big Shot,Yes,spotify:track:5cXg9IQS34FzLVdHhp7hu7
13,Pray for Me,Yes,spotify:track:1Oao2WEZDXfK4TEINsglKg
