,song titles,found on spotify,spotify URI
0,Home,Yes,spotify:track:2qPSa6HXjzwa9sLhNGpA1T
1,Last Son,Yes,spotify:track:6Ef19wGgrDnAvUTbMrr0zq
2,Hammer of Boravia,Yes,spotify:track:0pGIJNyhRgbggSEZrYRFLN
3,LuthorCorp,Yes,spotify:track:21465ehfRJKP5byKm5J5w1
4,The Daily Planet,Yes,spotify:track:0AXuLoZm7tzczIfuUjdE46
5,Lois & Clark,Yes,spotify:track:2wciAR8WGcquDtnKTqQ4By
6,Eyes Up Here,Yes,spotify:track:1NPdWe1dxGHuzezveCpsrN
7,Justice Gang vs. Kaiju,Yes,spotify:track:6S8sbKseHxrgAILMlZG840
8,Intruders,Yes,spotify:track:2dXeDuQHTdhVD2mC3m8kQt
9,The Message,Yes,spotify:track:5dav3WDozcx2PTXtGfxmjj
10,Secret Harem,Yes,spotify:track:0myGDgvC4BfigvIVP7yN1F
11,The Real Punk Rock,Yes,spotify:track:6e13443Ve7RGcAUScTgYtl
12,Pocket Universe,Yes,spotify:track:7t9d2YdmD87JC72pocMtlz
13,5 Years Time,Yes,spotify:track:12je8giC2S9smUHJ81tpiL
14,Something Like a Sun,Yes,spotify:track:6leiB1fEsTnVCuPiielde5
15,Jailbreak,Yes,spotify:track:57UIoWO4bNtnrTRXHvHfbL
16,The River Pi,Yes,spotify:track:2agBDIr9MYDUducQPC1sFU
17,Take the T-Craft,Yes,spotify:track:2c4zwlPMc5dHS3Kg6oeUjk
18,"Your Choices, Your Actions",Yes,spotify:track:5aZS1JFmphEWv9hw51itcz
19,Raising the Flag,Yes,spotify:track:53eIFP8hQeRf2iGK2i54kE
20,The Rift,Yes,spotify:track:412luShbmlgqqgYFStIB1s
21,Bases Loaded,Yes,spotify:track:3Yib1ZUZ1T25Z5TGpbCvZK
22,Speeding Bullet,Yes,spotify:track:1ZbD01n1gBj9Snv4moxnf4
23,Remote Control,Yes,spotify:track:45N9i9QraLWD6GW7xBqxnx
24,Upgrade,Yes,spotify:track:0GLUBbX4daHJkT3RQHEOia
25,Driven by Envy,Yes,spotify:track:3mMQExY3pLWFUUinrKqAeU
26,Look Up,Yes,spotify:track:14BJoVwLeSAzGloeJvxmpO
27,Being Human,Yes,spotify:track:7kfzX7ufDOV18X8l00ko4u
28,Luthor the Traitor,Yes,spotify:track:0rksZWnKJiTAHrgxLSYueo
29,Metropolis,Yes,spotify:track:5INhgLY5BQfXAr61XPAoSq
30,Walking on Air,Yes,spotify:track:42bTIo0JrZEY9LcY3ZhUCO
31,Punkrocker,Yes,spotify:track:7yHRmaBkHKXKJmS1xMzicZ
32,The Mighty Crabjoys Theme,Yes,spotify:track:3r6yewphAnnKsBXsHFFSSW
